design,model,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,alpha_mean,rmse_improvement_mean,rmse_improvement_sd,mae_improvement_mean,r2_improvement_mean
one_lag,M0_persistence,22.27112962962963,3.8671399708627647,39.8299993782321,7.625210657617897,0.8267998022372145,0.08478317808326916,,0.0,0.0,0.0,0.0
one_lag,M1_history_gb,23.26942301033798,2.7893080427980976,38.98185013393392,6.307648124225811,0.8350919700331628,0.07192970974140743,0.475,0.8481492442981875,2.2494561217330484,-0.9982933807083499,0.00829216779594839
one_lag,M1_history_rf,23.599188119730513,3.1603239322067775,39.07490442579463,7.054855585599722,0.8335621368078903,0.0780825612399011,0.43000000000000005,0.7550949524374779,1.3246954788446912,-1.3280584901008827,0.006762334570675699
one_lag,M2_history_env_compact_gb,24.07650833882265,2.630668375572832,38.504233662586,6.322970838981308,0.839370878851262,0.07155400058186037,0.39,1.3257657156460971,1.8580681480749677,-1.8053787091930182,0.012571076614047572
one_lag,M2_history_env_compact_rf,24.14652101218787,3.1278863356644804,37.385302842362854,6.525628446579569,0.847980447674116,0.0710687493102354,0.4,2.4446965358692525,1.4043510125556455,-1.875391382558238,0.021180645436901437
one_lag,M3_history_vc_gb,23.326645117450916,3.4035493777079924,38.498794422906066,6.269244456427807,0.8387770885467949,0.07236787538696608,0.40499999999999997,1.3312049553260354,2.2562065093847155,-1.0555154878212845,0.011977286309580327
one_lag,M3_history_vc_rf,24.267060826405135,3.133420067744767,38.16149907842437,6.0994492693374625,0.8428995913958153,0.0654056198743779,0.43500000000000005,1.6685002998077323,2.0695957247828476,-1.9959311967755056,0.01609978915860063
one_lag,M4_history_env_compact_vc_gb,24.112925720031384,2.7095099756322187,38.25114590144876,6.526103669522779,0.8411345104479355,0.0724542435696689,0.385,1.578853476783348,1.74570687139494,-1.841796090401754,0.014334708210721003
one_lag,M4_history_env_compact_vc_rf,24.233257934702337,3.2379779063686143,37.45939832652235,6.731217388749203,0.847654033038401,0.07039775273992478,0.39,2.370601051709756,1.2245481402058245,-1.9621283050727065,0.020854230801186424
one_lag,M5_history_env_full_gb,24.29027560783059,2.569832853569767,38.653981640578046,6.355102335063329,0.8379154319796728,0.07275806333222651,0.35500000000000004,1.1760177376540546,1.7133128707563448,-2.019145978200961,0.011115629742458244
one_lag,M5_history_env_full_rf,24.452215038283335,3.1103872953188554,37.84543113195443,6.3387170217017585,0.8442508972510888,0.07159020379221959,0.35500000000000004,1.9845682462776773,1.4233162082872888,-2.181085408653707,0.017451095013874228
one_lag,M6_history_env_full_vc_gb,24.408223167767407,2.4819198263945057,38.58009291736063,6.285896590470054,0.8386421910922819,0.07150817143001129,0.36000000000000004,1.2499064608714683,1.8260735255056808,-2.1370935381377754,0.011842388855067354
one_lag,M6_history_env_full_vc_rf,24.337808953794966,3.1541827578644175,37.85519494965369,6.416178100555798,0.844301917417108,0.07123953616771934,0.36,1.9748044285784068,1.3136478686835464,-2.0666793241653343,0.017502115179893564
two_lag,M0_persistence,25.8876,4.471098784737635,44.02399752047826,9.081177599602576,0.7812029975686652,0.12885815106001092,,0.0,0.0,0.0,0.0
two_lag,M1_history_gb,27.49607535799489,3.475371321279062,41.858164529467004,7.067254959760374,0.8067500249230595,0.09240808809706601,0.535,2.1658329910112633,2.913234049919748,-1.6084753579948916,0.025547027354394247
two_lag,M1_history_rf,27.532505143153593,4.4428783396982565,43.0705200749762,8.182289037893424,0.7928362688720964,0.11088190277889794,0.43,0.9534774455020643,1.6677498184768629,-1.644905143153596,0.011633271303431147
two_lag,M2_history_env_compact_gb,28.57503327471138,3.899310401361403,42.59587553002844,6.995075270996374,0.7968108355213465,0.11093739367265774,0.45,1.4281219904498237,2.5088184985372033,-2.687433274711382,0.015607837952681291
two_lag,M2_history_env_compact_rf,28.12486638017406,4.860005526417845,41.75777454985869,7.770732688102515,0.8035406869391842,0.11300501199018231,0.475,2.266222970619578,2.461318443019858,-2.237266380174058,0.022337689370519064
