design,split,repeat,model,learner,alpha,n_features,mae,rmse,r2,representation,inner_oof_rmse,raw_mae,raw_rmse,raw_r2
one_lag,grouped,1,M0_persistence,baseline,,1,20.451785714285716,41.90255460163327,0.8049203691341708,,,,,
one_lag,grouped,1,M1_history_rf,rf,0.30000000000000004,1,21.277396392745572,41.11040257519201,0.8122264646625632,history,49.25740688199954,26.78354202796402,42.17990338824331,0.8023293978901518
one_lag,grouped,1,M1_history_gb,gb,0.25,1,21.199936264950903,40.45094738380834,0.8182023274998506,history,49.79536480280323,26.263952391251202,40.72622752880874,0.8157195388843049
one_lag,grouped,1,M2_history_env_compact_rf,rf,0.30000000000000004,9,22.840255101332236,39.75890868785073,0.8243695418038388,compact,48.341643143307614,34.91018269264772,45.26959440788789,0.7723099089699398
one_lag,grouped,1,M2_history_env_compact_gb,gb,0.25,9,22.532225267863378,40.89598514765678,0.8141800783406006,compact,49.04306467539297,34.399990514610224,46.742719097925765,0.7572502068096886
one_lag,grouped,1,M3_history_vc_rf,rf,0.45,4,27.22483666679691,41.74883181615867,0.8063490733043932,vc,47.73270139621422,39.208550317584596,49.48561311728365,0.7279248766568704
one_lag,grouped,1,M3_history_vc_gb,gb,0.2,4,20.794014089597265,40.11602306445066,0.821200348292034,vc,49.859652034007816,30.984609055178286,40.382349368711864,0.8188184013355375
one_lag,grouped,1,M4_history_env_compact_vc_rf,rf,0.35000000000000003,12,24.258538806229893,39.97215315421393,0.8224805231700266,compact_vc,48.13963138294537,38.90356309984327,48.36055453694201,0.7401555362878603
one_lag,grouped,1,M4_history_env_compact_vc_gb,gb,0.25,12,22.736011088165437,41.02182958356542,0.8130347149420714,compact_vc,48.950779611805046,36.24915130577973,47.84446472951061,0.745671913258265
one_lag,grouped,1,M5_history_env_full_rf,rf,0.30000000000000004,21,24.67674107136129,40.51611681120293,0.8176160770063612,full,48.08490837731652,43.15327211522848,52.67974155096613,0.691668287477746
one_lag,grouped,1,M5_history_env_full_gb,gb,0.25,21,23.045278101515553,40.947162100686825,0.8137147198193061,full,48.95897918221965,38.00794536083659,51.101667104838185,0.7098643731248448
one_lag,grouped,1,M6_history_env_full_vc_rf,rf,0.30000000000000004,24,24.174649341204333,40.32245902447121,0.8193554172348116,full_vc,48.08930359489924,40.94703003356868,50.46766949595166,0.7170189039575777
one_lag,grouped,1,M6_history_env_full_vc_gb,gb,0.30000000000000004,24,24.365487939140483,41.29407999812931,0.8105448072033481,full_vc,48.79367187800782,39.86142881849163,52.41927389614973,0.6947097563161384
one_lag,grouped,2,M0_persistence,baseline,,1,26.9075,47.122980707021135,0.7362679640681593,,,,,
one_lag,grouped,2,M1_history_rf,rf,0.45,1,28.812673935190766,45.730281059481804,0.7516265775355659,history,46.8683299984237,33.42939445915409,47.27327592584802,0.7345829741062652
one_lag,grouped,2,M1_history_gb,gb,0.45,1,27.35792425423627,45.057929208101434,0.7588763343769538,history,46.9034003011113,30.00480899638549,44.245276823821385,0.7674955797625305
one_lag,grouped,2,M2_history_env_compact_rf,rf,0.35000000000000003,9,26.35178187357198,43.17672990305213,0.7785901823173618,compact,46.91932346404304,28.914204848999322,40.22115123002954,0.8078650486947527
one_lag,grouped,2,M2_history_env_compact_gb,gb,0.4,9,26.973813572872576,44.04903482043712,0.7695534693725046,compact,47.226858685543455,31.88675536296879,43.24726640968592,0.777866170470926
one_lag,grouped,2,M3_history_vc_rf,rf,0.35000000000000003,4,27.2653941070295,43.948529831991785,0.7706038716426713,vc,47.406100712215625,34.230846595832766,43.92172664167079,0.7708835930887463
one_lag,grouped,2,M3_history_vc_gb,gb,0.4,4,27.76148869135651,44.75808132368839,0.7620748769096981,vc,47.406756847362736,33.313411170708285,44.639324997078674,0.7633357722938198
one_lag,grouped,2,M4_history_env_compact_vc_rf,rf,0.30000000000000004,12,26.342103493895614,43.52588705044644,0.7749947549215788,compact_vc,47.10414895023743,30.5746264746027,41.070928741537735,0.799660572673844
one_lag,grouped,2,M4_history_env_compact_vc_gb,gb,0.4,12,26.993440729058424,44.03451170451021,0.7697054023248144,compact_vc,47.228831307026695,32.04720539549957,42.99480829415195,0.780452035854368
one_lag,grouped,2,M5_history_env_full_rf,rf,0.25,21,26.430472746008526,44.35426806070642,0.7663486932305816,full,47.34975723071929,31.62128031593667,42.37253572691762,0.7867611706445594
one_lag,grouped,2,M5_history_env_full_gb,gb,0.30000000000000004,21,27.124613433897444,44.70552311253448,0.7626333269769772,full,47.56861082183259,33.151030333638,43.5371091521166,0.7748787155979932
one_lag,grouped,2,M6_history_env_full_vc_rf,rf,0.25,24,26.26634142486517,44.42702872958068,0.7655814809468424,full_vc,47.45141325600468,30.85999567384957,41.87228031106836,0.7917664966136592
one_lag,grouped,2,M6_history_env_full_vc_gb,gb,0.30000000000000004,24,26.936691363065897,44.701440592015,0.7626766777756544,full_vc,47.543101562517485,32.74694779783318,43.22112611999832,0.7781346215550099
one_lag,grouped,3,M0_persistence,baseline,,1,23.284999999999997,43.764504616020886,0.8680972562126377,,,,,
one_lag,grouped,3,M1_history_rf,rf,0.45,1,24.273185282908823,42.99144122400334,0.8727160029905537,history,47.90142104539336,29.458074759382253,44.25760180798282,0.8651082000003241
one_lag,grouped,3,M1_history_gb,gb,0.5,1,24.20284157272165,42.48384174389042,0.8757039405094107,history,47.630393924636195,28.551678238617512,43.76598173387247,0.8680883522304158
