design,split,repeat,model,learner,alpha,n_features,mae,rmse,r2,representation,inner_oof_rmse,raw_mae,raw_rmse,raw_r2,order
one_lag,temporal_2020,1,M0_persistence,baseline,,1,32.27096774193549,54.611141484074004,0.6570673689348745,,,,,,0
one_lag,temporal_2020,1,M1_history_rf,rf,0.25,1,31.572292995156896,52.76651325719948,0.6798429290964443,history,45.999242152196196,31.461095357117625,50.33151564564214,0.7087095005447701,1
one_lag,temporal_2020,1,M2_history_env_compact_rf,rf,0.30000000000000004,9,31.35473760571604,52.476074026113224,0.6833576682350273,compact,45.37711221767673,30.538614292093893,49.64549368099965,0.7165960034050847,2
one_lag,temporal_2020,1,M3_history_vc_rf,rf,0.30000000000000004,4,30.582688848392973,50.436059355518346,0.7074981634472715,vc,45.35712120225446,29.990812737812913,44.561835606834116,0.7716650207899111,3
one_lag,temporal_2020,1,M4_history_env_compact_vc_rf,rf,0.25,12,31.587606930958835,52.34983282339493,0.6848793227347625,compact_vc,45.44741408559159,30.79264061170767,48.22404500921786,0.7325925054644089,4
one_lag,temporal_2020,1,M5_history_env_full_rf,rf,0.25,21,31.520332741344053,52.720224818771776,0.6804043863485315,full,45.4323878146446,30.789333022466643,49.44298174625331,0.7189033884432554,5
one_lag,temporal_2020,1,M6_history_env_full_vc_rf,rf,0.25,24,31.531325793716785,52.56516531272165,0.6822815961358967,full_vc,45.557447999323884,30.856638357192306,49.09401113619453,0.7228573683693951,6
