design,split,repeat,model,learner,alpha,n_features,mae,rmse,r2,representation,inner_oof_rmse,raw_mae,raw_rmse,raw_r2
one_lag,temporal_2020,1,M3_history_vc_rf,rf,0.30000000000000004,4,30.582688848392973,50.436059355518346,0.7074981634472715,vc,45.35712120225446,29.990812737812913,44.561835606834116,0.7716650207899111
one_lag,temporal_2020,1,M1_history_gb,gb,0.30000000000000004,1,30.764378319062363,51.60144448737273,0.6938247923169654,history,45.96189515928792,30.087039156988208,46.92036174591257,0.7468552024492974
one_lag,temporal_2020,1,M4_history_env_compact_vc_rf,rf,0.25,12,31.587606930958835,52.34983282339493,0.6848793227347625,compact_vc,45.44741408559159,30.79264061170767,48.22404500921786,0.7325925054644089
one_lag,temporal_2020,1,M2_history_env_compact_rf,rf,0.30000000000000004,9,31.35473760571604,52.476074026113224,0.6833576682350273,compact,45.37711221767673,30.538614292093893,49.64549368099965,0.7165960034050847
one_lag,temporal_2020,1,M6_history_env_full_vc_rf,rf,0.25,24,31.531325793716785,52.56516531272165,0.6822815961358967,full_vc,45.557447999323884,30.856638357192306,49.09401113619453,0.7228573683693951
one_lag,temporal_2020,1,M5_history_env_full_rf,rf,0.25,21,31.520332741344053,52.720224818771776,0.6804043863485315,full,45.4323878146446,30.789333022466643,49.44298174625331,0.7189033884432554
one_lag,temporal_2020,1,M1_history_rf,rf,0.25,1,31.572292995156896,52.76651325719948,0.6798429290964443,history,45.999242152196196,31.461095357117625,50.33151564564214,0.7087095005447701
one_lag,temporal_2020,1,M3_history_vc_gb,gb,0.2,4,31.650967813733807,52.88823351709612,0.678364167418153,vc,45.99663261524967,31.941055760726954,48.66934152823954,0.7276312711549593
one_lag,temporal_2020,1,M4_history_env_compact_vc_gb,gb,0.25,12,31.562477803040064,53.493604775123515,0.6709589879002755,compact_vc,45.69438355523568,33.53664746258555,53.49175624014292,0.6709817283124868
one_lag,temporal_2020,1,M2_history_env_compact_gb,gb,0.25,9,31.41583426989157,53.85280398794512,0.6665252583431867,compact,45.76875062575383,33.2663443218666,54.849565173382125,0.654066452138213
one_lag,temporal_2020,1,M6_history_env_full_vc_gb,gb,0.25,24,31.82384505960204,53.93074659796931,0.6655592658897833,full_vc,45.665580240728865,33.943946594932314,55.36342258126295,0.6475543425478434
one_lag,temporal_2020,1,M5_history_env_full_gb,gb,0.25,21,31.885417685346155,54.057889467326255,0.6639805049708101,full,45.74185653598226,34.60052007563043,56.05313237545744,0.6387182059308782
one_lag,temporal_2020,1,M0_persistence,baseline,,1,32.27096774193549,54.611141484074004,0.6570673689348745,,,,,
two_lag,temporal_2020,1,M1_history_rf,rf,0.35000000000000003,2,31.485660965661722,50.75631496554329,0.7037717517436032,history,44.962205135103005,35.1267088270139,49.600062491432986,0.7171144588994716
two_lag,temporal_2020,1,M1_history_gb,gb,0.35000000000000003,2,30.52771035670224,50.76476693087827,0.7036730873962502,history,45.15844512331806,30.563375262004808,46.628871433468774,0.7499907302854932
two_lag,temporal_2020,1,M4_history_env_compact_vc_rf,rf,0.4,13,31.733231212681623,50.79775782149183,0.7032878097329457,compact_vc,44.57663132236079,34.77520002748436,48.883439130057226,0.7252296872811843
two_lag,temporal_2020,1,M3_history_vc_rf,rf,0.35000000000000003,5,31.29264998105034,50.85115065109013,0.702663741667392,vc,44.854622775711874,35.55449585459512,49.562034965364305,0.7175480597046406
two_lag,temporal_2020,1,M2_history_env_compact_rf,rf,0.4,10,31.756043143012555,51.02861716002462,0.700584760019872,compact,44.22748677770939,34.74427482134891,49.51220209817105,0.7181157649607496
two_lag,temporal_2020,1,M6_history_env_full_vc_rf,rf,0.35000000000000003,25,31.772313330028098,51.17935670108955,0.6988131902097825,full_vc,44.79274731234141,35.078741213115606,49.32055181770879,0.7202937588603334
two_lag,temporal_2020,1,M4_history_env_compact_vc_gb,gb,0.35000000000000003,13,31.79855345109549,51.30801670402013,0.6972969771855911,compact_vc,45.21500119431771,34.337984222402696,49.21381242677454,0.7215031276098938
two_lag,temporal_2020,1,M5_history_env_full_rf,rf,0.35000000000000003,22,31.845464544255844,51.380364231251875,0.6964427147661214,full,44.61823383079355,35.101331427656596,49.78719229068316,0.7149759062358636
two_lag,temporal_2020,1,M3_history_vc_gb,gb,0.30000000000000004,5,30.947654670926692,51.51619593562152,0.6948355947518952,vc,45.060121941521075,32.33939672624878,48.230100021419126,0.7325253498663076
two_lag,temporal_2020,1,M6_history_env_full_vc_gb,gb,0.30000000000000004,25,32.129862891362826,51.76345163579914,0.6918992478455548,full_vc,45.11691577305355,35.13664378924143,50.10110307555515,0.7113703926070263
two_lag,temporal_2020,1,M5_history_env_full_gb,gb,0.30000000000000004,22,31.964383804329447,52.02035428828646,0.6888334431557148,full,45.290968335243605,33.78757171362821,49.575189097130256,0.7173981101276515
two_lag,temporal_2020,1,M2_history_env_compact_gb,gb,0.35000000000000003,10,31.619013136264808,52.3359414411986,0.6850465393517126,compact,44.94440154988681,34.589186884188116,51.57744877802102,0.6941094813655428
two_lag,temporal_2020,1,M0_persistence,baseline,,1,32.27096774193549,54.611141484074004,0.6570673689348745,,,,,
